data,name,type,tmpt,n,n_pex,mean,sd,se,med,min,max,lo,hi
clinic,fef2575,Between PEx start and end,same_day,30,36,87.79,60.3,11.01,66.27,5.03,240.17,66.21,109.37
home,fef2575,Between PEx start and end,same_day,30,36,106.95,52.83,9.65,95.35,28.3,241.7,88.04,125.85
clinic,fef2575,Between PEx start and end,same_week,45,71,96.21,65.82,9.81,83.15,5.03,241.94,76.98,115.45
home,fef2575,Between PEx start and end,same_week,45,71,113.32,63.55,9.47,103.05,16,252.7,94.75,131.89
clinic,fev1,Between PEx start and end,same_day,30,36,2.09,0.77,0.14,2.02,0.74,3.43,1.81,2.36
home,fev1,Between PEx start and end,same_day,30,36,2.15,0.79,0.14,2.12,0.59,3.7,1.87,2.43
clinic,fev1,Between PEx start and end,same_week,45,71,2.18,0.86,0.13,2.11,0.65,3.83,1.93,2.43
home,fev1,Between PEx start and end,same_week,45,71,2.22,0.86,0.13,2.13,0.59,3.87,1.97,2.47
clinic,fev1_fvc,Between PEx start and end,same_day,30,36,68.64,9.65,1.76,69.52,44.97,87.51,65.19,72.1
home,fev1_fvc,Between PEx start and end,same_day,30,36,77.31,9.89,1.81,76,60,100,73.77,80.85
clinic,fev1_fvc,Between PEx start and end,same_week,45,71,68.71,11.72,1.75,69.97,38.72,89.58,65.29,72.14
home,fev1_fvc,Between PEx start and end,same_week,45,71,75.3,12,1.79,75.5,43,100,71.79,78.8
clinic,fev1pp,Between PEx start and end,same_day,30,36,79.17,24.51,4.48,77.3,37.4,124.2,70.39,87.94
home,fev1pp,Between PEx start and end,same_day,30,36,80.84,25.33,4.63,82.66,29.74,135.17,71.77,89.9
clinic,fev1pp,Between PEx start and end,same_week,45,71,80.73,25.95,3.87,79.71,36.45,140.03,73.14,88.31
home,fev1pp,Between PEx start and end,same_week,45,71,83.06,25.38,3.78,84.62,29.74,141.22,75.65,90.48
clinic,fvc,Between PEx start and end,same_day,30,36,3.02,0.94,0.17,2.89,1.17,4.78,2.69,3.36
home,fvc,Between PEx start and end,same_day,30,36,2.96,1,0.18,3.04,0.85,5.17,2.6,3.32
clinic,fvc,Between PEx start and end,same_week,45,71,3.13,0.98,0.15,2.97,1.17,5.17,2.84,3.41
