measure,visit,n,chng,diff,icc,cv
FEV1 (L/sec),V1,133,"0 [0, 0]","0 [-0.065, 0.065]","0.948 [0.934, 0.959]","12.251 [12.087, 12.418]"
FEV1 % predicted,V1,133,"0 [0, 0]","0.535 [-3.997, 5.067]","0.747 [0.691, 0.784]","14.743 [14.545, 14.944]"
FVC (L),V1,133,"0 [0, 0]","0.123 [0.033, 0.213]","0.931 [0.913, 0.945]","13.356 [13.177, 13.537]"
FVC % predicted,V1,133,"0 [0, 0]","4.513 [-1.051, 10.076]","0.619 [0.555, 0.675]","15.773 [15.561, 15.989]"
FEF25-75 (%),V1,133,"0 [0, 0]","-12.798 [-19.229, -6.367]","0.924 [0.903, 0.939]","20.185 [19.91, 20.464]"
PEF (L/min),V1,133,"0 [0, 0]","-12.705 [-22.926, -2.484] ","0.876 [0.86, 0.889] ","10.58 [10.439, 10.724]  "
FEV1 (L/sec),V2,136,"0.106 [0.028, 0.184]","0.01 [-0.037, 0.058]","0.972 [0.964, 0.978]","5.993 [5.917, 6.07]"
FEV1 % predicted,V2,136,"3.506 [0.566, 6.446]","-0.622 [-2.563, 1.319]","0.943 [0.928, 0.954]","6.917 [6.829, 7.005]"
FVC (L),V2,136,"0.152 [0.052, 0.251]","0.108 [0.033, 0.184]","0.951 [0.937, 0.961]","7.718 [7.62, 7.817]"
FVC % predicted,V2,136,"3.69 [0.902, 6.479]","1.785 [-0.451, 4.022]","0.889 [0.86, 0.91]","8.547 [8.439, 8.657]"
FEF25-75 (%),V2,136,"1.699 [-5.908, 9.306]","-15.417 [-21.523, -9.311]","0.926 [0.907, 0.94]","18.943 [18.699, 19.191]"
PEF (L/min),V2,136,"-28.953 [-42.65, -15.257]","-20.467 [-31.099, -9.834] ","0.869 [0.834, 0.895] ","10.234 [10.104, 10.365]  "
FEV1 (L/sec),V3,104,"-0.024 [-0.105, 0.057]","0.001 [-0.047, 0.049]","0.974 [0.965, 0.98]","7.879 [7.768, 7.991]"
FEV1 % predicted,V3,104,"-1.297 [-4.168, 1.574]","-1.415 [-3.48, 0.651]","0.941 [0.924, 0.953]","8.744 [8.622, 8.869]"
FVC (L),V3,104,"0.005 [-0.077, 0.087]","0.072 [0.006, 0.139]","0.966 [0.956, 0.974]","5.406 [5.33, 5.483]"
FVC % predicted,V3,104,"-0.256 [-2.617, 2.106]","0.151 [-2.013, 2.314]","0.912 [0.887, 0.931]","6.792 [6.697, 6.889]"
FEF25-75 (%),V3,104,"-9.55 [-19.231, 0.132]","-18.967 [-24.6, -13.335]","0.938 [0.919, 0.951]","15.585 [15.363, 15.81]"
PEF (L/min),V3,104,"-28.854 [-41.683, -16.025]","-18.566 [-27.402, -9.731] ","0.918 [0.88, 0.941] ","8.227 [8.112, 8.344]  "
FEV1 (L/sec),V4,65,"0.228 [0.08, 0.376]","-0.02 [-0.088, 0.049]","0.975 [0.965, 0.981]","7.068 [6.944, 7.194]"
FEV1 % predicted,V4,65,"7.833 [1.875, 13.791]","-1.884 [-4.702, 0.935]","0.937 [0.913, 0.954]","8.299 [8.153, 8.447]"
FVC (L),V4,65,"0.173 [0.008, 0.338]","0.081 [-0.011, 0.174]","0.971 [0.959, 0.979]","6.318 [6.208, 6.431]"
FVC % predicted,V4,65,"4.27 [-0.831, 9.37]","1.046 [-2.189, 4.282]","0.896 [0.858, 0.921]","7.973 [7.833, 8.115]"
FEF25-75 (%),V4,65,"12.924 [-1.95, 27.797]","-18.32 [-24.615, -12.025]","0.957 [0.941, 0.969]","16.264 [15.976, 16.558]"
PEF (L/min),V4,65,"-9.116 [-29.312, 11.08]","-12.361 [-24.89, 0.167] ","0.922 [0.91, 0.933] ","10.224 [10.044, 10.408]  "
FEV1 (L/sec),V5,36,"0.16 [0.025, 0.295]","-0.01 [-0.127, 0.107]","0.943 [0.911, 0.959]","8.811 [8.632, 8.994]"
FEV1 % predicted,V5,36,"4.786 [0.4, 9.172]","-0.987 [-5.234, 3.26]","0.915 [0.871, 0.941]","9.441 [9.25, 9.637]"
FVC (L),V5,36,"0.196 [0.037, 0.355]","0.131 [-0.002, 0.264]","0.951 [0.924, 0.966]","8.255 [8.087, 8.426]"
FVC % predicted,V5,36,"5.322 [0.814, 9.831]","3.241 [-0.717, 7.2]","0.895 [0.846, 0.927]","8.926 [8.745, 9.111]"
FEF25-75 (%),V5,36,"6.5 [-13.359, 26.359]","-19.085 [-27.505, -10.665]","0.948 [0.92, 0.963]","24.718 [24.204, 25.244]"
PEF (L/min),V5,36,"-7.314 [-36.274, 21.645]","-8.737 [-31.201, 13.726] ","0.874 [0.863, 0.884] ","15.221 [14.91, 15.539]  "
