measure,popn,n,n_obs,n_clinic,n_home,clinic_slope,clinic_lo,clinic_hi,home_slope,home_lo,home_hi,slope_diff,slope_diff_lo,slope_diff_hi,slope_diff_p
FEF25-75 (%),all,130,4821,130,130,-5.623,-14.291,3.044,0.053,-2.989,3.095,-5.676,-14.82,3.468,0.224
FEF25-75 (%),stable,130,4424,130,130,-6.148,-15.216,2.919,1.188,-1.997,4.372,-7.336,-16.905,2.233,0.133
FEV1 % predicted,all,133,4887,133,133,-3.035,-5.973,-0.096,-2.272,-3.307,-1.237,-0.763,-3.863,2.337,0.63
FEV1 % predicted,stable,133,4490,133,133,-2.988,-6.042,0.065,-1.888,-2.964,-0.812,-1.101,-4.323,2.122,0.503
FEV1 (L/sec),all,133,4887,133,133,-0.096,-0.169,-0.023,-0.093,-0.119,-0.067,-0.003,-0.08,0.075,0.947
FEV1 (L/sec),stable,133,4490,133,133,-0.094,-0.169,-0.018,-0.084,-0.111,-0.058,-0.01,-0.089,0.07,0.813
FVC % predicted,all,133,4887,133,133,-2.945,-5.953,0.063,-3.722,-4.781,-2.663,0.777,-2.397,3.951,0.631
FVC % predicted,stable,133,4490,133,133,-2.863,-5.998,0.272,-3.524,-4.629,-2.42,0.661,-2.648,3.971,0.695
FVC (L),all,133,4887,133,133,-0.114,-0.205,-0.024,-0.157,-0.189,-0.125,0.043,-0.052,0.138,0.377
FVC (L),stable,133,4490,133,133,-0.108,-0.201,-0.015,-0.151,-0.184,-0.118,0.042,-0.056,0.141,0.398
PEF (L/min),all,133,4887,133,133,10.191,-4.068,24.45,1.519,-3.502,6.54,8.672,-6.371,23.715,0.259
PEF (L/min),stable,133,4490,133,133,10.519,-4.161,25.2,3.207,-1.968,8.382,7.313,-8.181,22.806,0.355
