data,name,type,tmpt,visit,n,mean,sd,se,cv,nm
Clinic,fef2575,During stable periods,same_day,V1,133,103.58,68.7,5.96,0.66,FEF25-75 (%)
Clinic,fef2575,During stable periods,same_day,V2,132,101.45,67.17,5.85,0.66,FEF25-75 (%)
Clinic,fef2575,During stable periods,same_day,V3,93,100,59.96,6.22,0.6,FEF25-75 (%)
Clinic,fef2575,During stable periods,same_day,V4,62,87.12,62.26,7.91,0.71,FEF25-75 (%)
Clinic,fef2575,During stable periods,same_day,V5,40,100.05,60.03,9.49,0.6,FEF25-75 (%)
Home,fef2575,During stable periods,same_day,V1,133,112.53,68.62,5.95,0.61,FEF25-75 (%)
Home,fef2575,During stable periods,same_day,V2,132,114.78,70.32,6.12,0.61,FEF25-75 (%)
Home,fef2575,During stable periods,same_day,V3,93,116.78,64.1,6.65,0.55,FEF25-75 (%)
Home,fef2575,During stable periods,same_day,V4,62,105.11,66.73,8.47,0.63,FEF25-75 (%)
Home,fef2575,During stable periods,same_day,V5,40,119.22,65.88,10.42,0.55,FEF25-75 (%)
Clinic,fev1,During stable periods,same_day,V1,133,2.25,0.83,0.07,0.37,FEV1 (L/sec)
Clinic,fev1,During stable periods,same_day,V2,132,2.3,0.86,0.08,0.38,FEV1 (L/sec)
Clinic,fev1,During stable periods,same_day,V3,93,2.3,0.8,0.08,0.35,FEV1 (L/sec)
Clinic,fev1,During stable periods,same_day,V4,62,2.2,0.9,0.11,0.41,FEV1 (L/sec)
Clinic,fev1,During stable periods,same_day,V5,40,2.3,0.79,0.12,0.34,FEV1 (L/sec)
Home,fev1,During stable periods,same_day,V1,133,2.22,0.86,0.07,0.39,FEV1 (L/sec)
Home,fev1,During stable periods,same_day,V2,132,2.3,0.9,0.08,0.39,FEV1 (L/sec)
Home,fev1,During stable periods,same_day,V3,93,2.28,0.82,0.09,0.36,FEV1 (L/sec)
Home,fev1,During stable periods,same_day,V4,62,2.23,0.96,0.12,0.43,FEV1 (L/sec)
Home,fev1,During stable periods,same_day,V5,40,2.33,0.84,0.13,0.36,FEV1 (L/sec)
Clinic,fev1_fvc,During stable periods,same_day,V1,133,70.62,10.93,0.95,0.15,FEV1/FVC
Clinic,fev1_fvc,During stable periods,same_day,V2,132,69.45,10.62,0.92,0.15,FEV1/FVC
Clinic,fev1_fvc,During stable periods,same_day,V3,93,70.27,10.63,1.1,0.15,FEV1/FVC
Clinic,fev1_fvc,During stable periods,same_day,V4,62,66.33,11.87,1.51,0.18,FEV1/FVC
Clinic,fev1_fvc,During stable periods,same_day,V5,40,70.55,9.23,1.46,0.13,FEV1/FVC
Home,fev1_fvc,During stable periods,same_day,V1,133,73.57,11.89,1.03,0.16,FEV1/FVC
Home,fev1_fvc,During stable periods,same_day,V2,132,73.55,11.76,1.02,0.16,FEV1/FVC
Home,fev1_fvc,During stable periods,same_day,V3,93,76.12,14.09,1.46,0.19,FEV1/FVC
Home,fev1_fvc,During stable periods,same_day,V4,62,71.82,14.44,1.83,0.2,FEV1/FVC
Home,fev1_fvc,During stable periods,same_day,V5,40,78.75,12.96,2.05,0.16,FEV1/FVC
Clinic,fev1pp,During stable periods,same_day,V1,133,85.98,28.38,2.46,0.33,FEV1 % predicted
Clinic,fev1pp,During stable periods,same_day,V2,132,86.36,24.5,2.13,0.28,FEV1 % predicted
Clinic,fev1pp,During stable periods,same_day,V3,93,85.11,21.91,2.27,0.26,FEV1 % predicted
Clinic,fev1pp,During stable periods,same_day,V4,62,79.32,21.87,2.78,0.28,FEV1 % predicted
Clinic,fev1pp,During stable periods,same_day,V5,40,84.9,22.77,3.6,0.27,FEV1 % predicted
Home,fev1pp,During stable periods,same_day,V1,133,84.71,24.79,2.15,0.29,FEV1 % predicted
Home,fev1pp,During stable periods,same_day,V2,132,86.7,27.15,2.36,0.31,FEV1 % predicted
Home,fev1pp,During stable periods,same_day,V3,93,84.46,24.09,2.5,0.29,FEV1 % predicted
Home,fev1pp,During stable periods,same_day,V4,62,82.57,27.13,3.45,0.33,FEV1 % predicted
Home,fev1pp,During stable periods,same_day,V5,40,86.43,24.99,3.95,0.29,FEV1 % predicted
Clinic,fvc,During stable periods,same_day,V1,133,3.2,1.03,0.09,0.32,FVC (L)
Clinic,fvc,During stable periods,same_day,V2,132,3.29,1.03,0.09,0.31,FVC (L)
Clinic,fvc,During stable periods,same_day,V3,93,3.28,1.03,0.11,0.31,FVC (L)
Clinic,fvc,During stable periods,same_day,V4,62,3.32,1.16,0.15,0.35,FVC (L)
Clinic,fvc,During stable periods,same_day,V5,40,3.26,0.99,0.16,0.3,FVC (L)
Home,fvc,During stable periods,same_day,V1,133,3.06,1.01,0.09,0.33,FVC (L)
Home,fvc,During stable periods,same_day,V2,132,3.21,1.06,0.09,0.33,FVC (L)
Home,fvc,During stable periods,same_day,V3,93,3.2,0.95,0.1,0.3,FVC (L)
Home,fvc,During stable periods,same_day,V4,62,3.25,1.2,0.15,0.37,FVC (L)
Home,fvc,During stable periods,same_day,V5,40,3.17,1.02,0.16,0.32,FVC (L)
Clinic,fvcpp,During stable periods,same_day,V1,133,95.59,31.49,2.73,0.33,FVC % predicted
