measure,visit,n,icc,icc_lo,icc_hi,cv_within,cv_lo,cv_hi,mean_diff,sd_diff,mean_diff_lo,mean_diff_hi,loa_lower,loa_upper,random_intercept,random_slope
FEF25-75 (%),V1,130,0.924,0.903,0.939,20.185,19.91,20.464,-12.798203970687197,37.40959235281163,-19.22903903320711,-6.367368908167288,-86.12100498219799,60.52459704082359,participant,not fitted
FEF25-75 (%),V2,139,0.926,0.907,0.94,18.943,18.699,19.191,-15.416972730594027,36.72825529925947,-21.522862642647183,-9.311082818540871,-87.40435311714259,56.57040765595454,participant,not fitted
FEF25-75 (%),V3,107,0.938,0.919,0.951,15.585,15.363,15.81,-18.967373808520026,29.725309127868908,-24.599735841006336,-13.335011776033717,-77.22897969914308,39.294232082103036,participant,not fitted
FEF25-75 (%),V4,69,0.957,0.941,0.969,16.264,15.976,16.558,-18.320015091547578,26.67855901882206,-24.614988421244252,-12.025041761850904,-70.60999076843882,33.96996058534366,participant,not fitted
FEF25-75 (%),V5,44,0.948,0.92,0.963,24.718,24.204,25.244,-19.08489785747693,28.49471651271524,-27.504548540805686,-10.665247174148172,-74.9345422223988,36.76474650744494,participant,not fitted
FEV1 % predicted,V1,133,0.747,0.691,0.784,14.743,14.545,14.944,0.5352968717461404,26.66651341685597,-3.996771856949944,5.0673656004422245,-51.73106942529156,52.80166316878384,participant,not fitted
FEV1 % predicted,V2,141,0.943,0.928,0.954,6.917,6.829,7.005,-0.6218319575194461,11.759792180794586,-2.562924146493687,1.3192602314547948,-23.671024631876833,22.42736071683794,participant,not fitted
FEV1 % predicted,V3,108,0.941,0.924,0.953,8.744,8.622,8.869,-1.4147157735909839,10.950772711798823,-3.4800434207681934,0.6506118735862256,-22.878230288716676,20.048798741534707,participant,not fitted
FEV1 % predicted,V4,69,0.937,0.913,0.954,8.299,8.153,8.447,-1.8837550226255713,11.944466678695342,-4.702126851733366,0.9346168064822236,-25.294909712868442,21.5273996676173,participant,not fitted
FEV1 % predicted,V5,44,0.915,0.871,0.941,9.441,9.25,9.637,-0.9871238994272696,14.372687747179429,-5.233981739118719,3.2597339402641796,-29.15759188389895,27.183344085044407,participant,not fitted
FEV1 (L/sec),V1,133,0.948,0.934,0.959,12.251,12.087,12.418,-2.762337815498021e-4,0.3818496281478123,-0.06517293518905483,0.06462046762595523,-0.748701504951262,0.7481490373881623,participant,not fitted
FEV1 (L/sec),V2,141,0.972,0.964,0.978,5.993,5.917,6.07,0.01037931845850619,0.2889152208021917,-0.037309541153382766,0.058068178070395146,-0.5558945143137896,0.5766531512308019,participant,not fitted
FEV1 (L/sec),V3,108,0.974,0.965,0.98,7.879,7.768,7.991,0.0010707131997409504,0.2528462800952789,-0.04661637030661661,0.048757796706098505,-0.49450799578700566,0.49664942218648755,participant,not fitted
FEV1 (L/sec),V4,69,0.975,0.965,0.981,7.068,6.944,7.194,-0.01955955956008143,0.28959337245136224,-0.08789093213354401,0.048771813013381154,-0.5871625695647513,0.5480434504445886,participant,not fitted
FEV1 (L/sec),V5,44,0.943,0.911,0.959,8.811,8.632,8.994,-0.009691632415962563,0.3961989615169575,-0.12676094439110822,0.10737767955918309,-0.7862415969891993,0.7668583321572741,participant,not fitted
FVC % predicted,V1,133,0.619,0.555,0.675,15.773,15.561,15.989,4.512518030941968,32.73388142887524,-1.0507214549848731,10.075757516868808,-59.64588956965351,68.67092563153744,participant,not fitted
FVC % predicted,V2,141,0.889,0.86,0.91,8.547,8.439,8.657,1.7851779878203646,13.549965225009508,-0.45140334412638694,4.021759319767116,-24.77275385319827,28.343109828839,participant,not fitted
FVC % predicted,V3,108,0.912,0.887,0.931,6.792,6.697,6.889,0.15070921228355688,11.471175132677677,-2.012766897635557,2.314185322202671,-22.332794047764693,22.634212472331804,participant,not fitted
FVC % predicted,V4,69,0.896,0.858,0.921,7.973,7.833,8.115,1.0461472105645708,13.71247423015596,-2.189397089338774,4.281691510467915,-25.830302280541112,27.92259670167025,participant,not fitted
